actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,return_mean
,mappo,,,,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.012436906807124615,mappo,5.859501015947899e-06,0.8829211592674255,0.0009786928976325442,71.0,,,,,,,,,,,,,,0.0,,,,,0.016535218805074692,0.0
,mappo,,,,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.005350504536181688,mappo,9.558265446685255e-06,0.8787474632263184,0.0009783927975991998,72.0,,,,,,,,,,,,,,0.0,,,,,0.016933219507336617,0.0
,mappo,,,,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.0005103783332742751,mappo,1.3109833162161522e-05,0.8771489262580872,0.0009780926975658554,73.0,,,,,,,,,,,,,,0.0,,,,,0.01660601980984211,0.0
,mappo,,,,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0023960929829627275,mappo,1.115126178774517e-05,0.874184250831604,0.0009777925975325108,74.0,,,,,,,,,,,,,,0.0,,,,,0.016397051513195038,0.0
,mappo,,,,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.004355453886091709,mappo,1.2561432413349394e-05,0.8623389601707458,0.0009774924974991664,75.0,,,,,,,,,,,,,,0.0,,,,,0.015945881605148315,0.0
,mappo,,,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
